method,n_opt,n_mach,running_time_seconds,num_constraints,num_variables,makespan,feasible_MILP,feasible_CP
CP,10,6,169.83801341056824,1172920,643941,518.0,yes,yes
CP,15,6,404.40246081352234,3232488,1781311,528.0,yes,yes
CP,20,6,657.4347581863403,5237304,2891081,698.0,yes,yes
CP,25,6,1257.1735956668854,8405500,4645101,698.0,no,yes
CP,30,6,1742.936588048935,11336358,6268921,698.0,yes,yes
CP,35,6,2592.7704799175262,15879216,8785841,698.0,yes,yes
CP,40,6,3157.399512052536,20748760,11484561,698.0,yes,yes
CP,45,6,2722.9667744636536,24936072,13805731,698.0,no,yes
CP,50,6,5758.801557540894,30563370,16925201,707.0,no,yes
CP,55,6,14426.628081083298,35973448,19924521,734.0,yes,yes
CP,60,6,15774.399385690689,42672036,23638441,757.0,yes,yes
