method,n_opt,n_mach,running_time_seconds,num_constraints,num_variables,makespan,feasible_MILP,feasible_CP
MILP,10,6,8.451860666275024,2440,781,518.0,yes,yes
MILP,15,6,14.568578004837036,5610,1696,528.0,yes,yes
MILP,20,6,23.84094214439392,10080,2961,698.0,yes,yes
MILP,25,6,38.653547525405884,15850,4576,698.0,yes,yes
MILP,30,6,65.95571732521057,22920,6541,698.0,no,yes
MILP,35,6,82.24475121498108,31290,8856,698.0,yes,yes
MILP,40,6,107.31405329704285,40960,11521,698.0,yes,yes
MILP,45,6,139.09997987747192,51930,14536,698.0,no,yes
MILP,50,6,200.7161636352539,64200,17901,707.0,no,yes
MILP,55,6,493.33043241500854,77770,21616,732.0,no,yes
MILP,60,6,708.1890733242035,92640,25681,757.0,no,yes
MILP,65,6,6184.024131774902,108810,30096,757.0,no,yes
MILP,70,6,6668.210480690002,126280,34861,767.0,no,yes
MILP,75,6,15278.356212377548,145050,39976,767.0,no,yes
MILP,80,6,7547.044453620911,165120,45441,767.0,no,yes
MILP,85,6,17540.286859035492,186490,51256,767.0,no,yes
MILP,90,6,15281.333368062973,209160,57421,770.0,no,yes
