method,n_opt,n_mach,running_time_seconds,num_constraints,num_variables,makespan,feasible_MILP,feasible_CP
MILP,10,6,9.729896545410156,2440,781,518.0,yes,yes
MILP,15,6,22.090737104415894,5610,1696,528.0,yes,yes
MILP,20,6,38.689642906188965,10080,2961,698.0,yes,yes
MILP,25,6,60.38771104812622,15850,4576,698.0,yes,yes
MILP,30,6,90.2082245349884,22920,6541,698.0,yes,yes
MILP,35,6,125.12218594551086,31290,8856,698.0,yes,yes
MILP,40,6,158.80153894424438,40960,11521,698.0,yes,yes
MILP,45,6,157.1115801334381,51930,14536,698.0,yes,yes
MILP,50,6,182.85478496551514,64200,17901,707.0,yes,yes
MILP,55,6,335.32817459106445,77770,21616,732.0,yes,yes
MILP,60,6,494.9885051250458,92640,25681,757.0,yes,yes
MILP,65,6,4508.290498495102,108810,30096,757.0,yes,yes
MILP,70,6,7638.74636888504,126280,34861,767.0,yes,yes
MILP,75,6,7674.428017616272,145050,39976,767.0,yes,yes
MILP,80,6,3634.553152322769,165120,45441,767.0,yes,yes
MILP,85,6,9615.566136598587,186490,51256,767.0,yes,yes
MILP,90,6,8812.470119476318,209160,57421,770.0,yes,yes
