ID,SMILES,Reward,CID
Z4121492000,CC(C)C1=NN(C(=C1)NC(=O)C(=O)NCC2=CC=C(C=C2)C3=CC=NN3)CC4=CC=CC=C4,1,146094167.0
Z4121492004,Cc1cc(Cl)cn2cc(CNC(=O)C(=O)NC(COc3ccccc3)c3ccccc3)nc12,1
Z4121492212,CCOC(=O)C1=C(C=CC(=C1)C2=CC=CC=C2)NC(=O)C(=O)N(C)C[C@@H]3CCC(=O)N3,1,165788547.0
Z4121492216,C1CC(=O)N(C2=C1C=C(C=C2)NC(=O)NCC34CCC(C3)(CO4)CO)CC5=CC=C(C=C5)Cl,1,146094182.0
Z1200683193,O=C1Cc2cc(NC(=O)C(=O)NC(CCCc3ccccc3)c3ccccc3)ccc2N1,1
Z4121492248,C1=CC=C(C=C1)C(COC2=CC=CC=C2F)NC(=O)C(=O)NC3=CC=CC(=C3)C4=CC=NN4,1,146094191.0
Z3561064053,CC1=CC(=NN1C2=CC=CC=C2F)NC(=O)C(=O)NCC3(CC(C3)(C)C)CO,1,146101737.0
Z4121492251,CC1=CC(=CN2C1=NC(=C2)CNC(=O)C(=O)NC(COC3=CC=CC=C3)C4=CC=CC=C4)Cl,1,146076443.0
Z4121492019,CC(=O)NCCc1c[nH]c2ccc(NC(=O)c3cnn4cc(Br)cnc34)cc12,1
Z4121492020,C=CCC1(CC1)S(=O)(=O)NC(=O)C2=CC(=C(C=C2)N3CCCCC3)S(=O)(=O)N4CCCCC4,1,165786553.0
Z4121492022,C1CC1CNS(=O)(=O)C2=CC=C(C=C2)NC(=O)NCC3=CC(=CC=C3)C4=CSC=C4,1,146094178.0
Z4121492273,C1=CC=C(C=C1)CCC(C2=CC=CC=C2)NC(=O)C(=O)NC3=CC=CC(=C3)C4=CC=NN4,1,146094192.0
Z4121492026,CC1=C(C=NN1)C2CCN(CC2)C(=O)NCC3=CN4C=C(C=C(C4=N3)Cl)Cl,1,146094172.0
Z4121492029,CC(CCC(C)(C)C)C(=O)N1CCC[C@@H]1CNC(=O)[C@@H]1C[C@@H]2C=C[C@H]1CC2,1,
Z1731969993,C1CN(CCC1C2=CNN=C2)C(=O)NC3=CC4=C(C=C3)N=C(O4)N5CCOCC5,1,154797834.0
Z4121492289,C1CC(=O)NCC1N2C=C(C=N2)NC(=O)N(CC3=CC=CC=C3)CC4=CC=CC=C4,1,146094193.0
Z4121492036,CC1=C(C=C(C=C1)NC(=O)NC2=NN(C=C2)C3CCCCC3)S(=O)(=O)N4CCCCCC4,1,154848224.0
Z4121492296,CC1(C)C2CCC1(COC(=O)c1cccc(S(=O)(=O)N=S(C)(C)=O)c1)CC2,1
Z4121492040,Cn1c(C2Cc3ccccc3CN2Cc2ccccc2)nnc1N1CCC(c2ccco2)C1,1
Z4121492050,CC1(C(=O)N(C(=O)N1)CCCNC(=O)NCC2=C(C3=C(O2)C=CC(=C3)Cl)C4=CC=CC=C4)C,1,146094175.0
Z4121492325,COC1=CC=C(C=C1)C2=NC=CC(=N2)N3CCCC(C3)CC4=CN=C(C=C4)N,1,146094187.0
Z4121492326,C1CC=CC(C1)(CC2=CC=CC=C2)CNC(=O)C(=O)NC3=C(C=CC(=C3F)Br)F,1,146094188.0
Z4121492058,COC(=O)C1=CC(=CN1)S(=O)(=O)NC2=NC(=CS2)C3=CC=C(C=C3)OC4=CC=CC=C4,1,146094183.0
Z4121492335,O=C1CCc2cc(OCCNC(=O)N(Cc3ccccc3)Cc3ccc(F)cc3)ccc2N1,1
Z975082230,CC1=CC(=C2C(=C1)C(=C(N2)C)C)CNC(=O)NC3=CC=C(C=C3)S(=O)(=O)NC(C)C,1,146088368.0
Z4121534933,CS(=O)(=O)NCCN1C=C(N=N1)C2=CSC(=N2)C(C3=CC=CC=C3)NC(=O)C4=CC=CC=C4,1,167911275.0
Z4121492339,O=C(Nc1ccn(C2CCCCC2)n1)C(=O)NC(CCc1ccccc1)c1ccccc1,1
Z4121492343,CC1CCCC(C1)OCC2=CC(=CC=C2)NC(=O)C(=O)NC3=CN(N=C3C4=CC=CC=C4)C,1,146094189.0
Z4121492344,CC(C)CN1C=CC2=C1C=CC(=C2)NC(=O)C(=O)NCC3(CC4CC3C=C4)CO,1,146094190.0
Z4121534245,CC(c1ccccc1)C1CCCN1c1nnc(CC(O)c2ccc(F)c(F)c2)n1C,1
Z4121492081,CN(C1=CC=CC(=C1)CNC(=O)N(CC2=CC=CC=C2)CC3=CC=CC=C3)S(=O)(=O)C,1,146094184.0
Z4121492388,C1CCC(CC1)(CC2CCCCN2C(=O)NC3=CC=C(C=C3)S(=O)(=O)NCC4CC4)O,1,154853043.0
