ID,SMILES,Reward,CID
Pyrukynd,C1CC1CN2CCN(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5.C1CC1CN2CCN(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5.O.O.O.OS(=O)(=O)O,1,134693700.0
Camzyos,CC(C)N1C(=O)C=C(NC1=O)NC(C)C2=CC=CC=C2,1,117763040.0
Voquezna,CNCC1=CN(C(=C1)C2=CC=CC=C2F)S(=O)(=O)C3=CN=CC=C3,1,15981397.0
Vtama,CC(C)C1=C(C=C(C=C1O)C=CC2=CC=CC=C2)O,1,133191.0
Sotyktu,CNC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NN(C=N3)C)NC(=O)C4CC4,1,138713709.0
Vericiguat,COC(=O)NC1=C(N=C(N=C1N)C2=NN(C3=C2C=C(C=N3)F)CC4=CC=CC=C4F)N,1,54674461.0
Trilacicilib,CN1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C=C5C(=O)NCC6(N5C4=N3)CCCCC6.Cl.Cl,1,124081865.0
Fosdenopterin,C1C2C(C(C3C(O2)NC4=C(N3)C(=O)NC(=N4)N)(O)O)OP(=O)(O1)O,1,135894389.0
Azstarys [a],COC(=O)C(C1CCCCN1C(=O)OC[N+]2=CC=CC(=C2)C(=O)NC(CO)C(=O)[O-])C3=CC=CC=C3,1,163192614.0
Ibrexafungerp,CC(C)C(C)C1(CCC2(C3CCC4C5(COCC4(C3=CCC2(C1C(=O)O)C)CC(C5OCC(C)(C(C)(C)C)N)N6C(=NC=N6)C7=CC=NC=C7)C)C)C,1,75163792.0
Finerenone,CCOC1=NC=C(C2=C1C(C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C,1,24993045.0
Fexinidazole,CN1C(=CN=C1COC2=CC=C(C=C2)SC)[N+](=O)[O-],1,68792.0
Belumosudil,CC(C)NC(=O)COC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC5=C(C=C4)NN=C5,1,11950170.0
Odevixibat,CCCCC1(CN(C2=CC(=C(C=C2S(=O)(=O)N1)OCC(=O)NC(C3=CC=C(C=C3)O)C(=O)NC(CC)C(=O)O)SC)C4=CC=CC=C4)CCCC,1,21896707.0
Belzutifan,CS(=O)(=O)C1=C2C(C(C(C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O,1,123508842.0
Difelikefalin,CC(C)CC(C(=O)NC(CCCCN)C(=O)N1CCC(CC1)(C(=O)O)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N,1,74316779.0
Tazverik,CCN(C1CCOCC1)C2=CC(=CC(=C2C)C(=O)NCC3=C(C=C(NC3=O)C)C)C4=CC=C(C=C4)CN5CCOCC5,1,66558664.0
Nexletol,CC(C)(CCCCCC(CCCCCC(C)(C)C(=O)O)O)C(=O)O,1,10472693.0
Isturisa,C1CC2=CN=CN2C1C3=C(C=C(C=C3)C#N)F,1,58827053.0
Koselugo,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,1,10127622.0
Tauvid,C1=CC2=C(C=C1C3=CN=C(C=C3)F)NC4=C2C=NC=C4,1,71059746.0
Rukobia,CC1=NN(C=N1)C2=NC=C(C3=C2N(C=C3C(=O)C(=O)N4CCN(CC4)C(=O)C5=CC=CC=C5)COP(=O)(O)O)OC.C(C(CO)(CO)N)O,1,46892186.0
Xeglyze,CC1=CN=C(C=C1)C2=NC=C(C=C2)C,1,15664.0
Winlevi,CCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)CO,1,73084847.0
Veklury,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,1,76415573.0
