SMILES,ID,Reward
O.O.O.O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1.O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1.O=S(=O)(O)O,C1594,1
CC(Nc1cc(=O)n(C(C)C)c(=O)[nH]1)c1ccccc1,C813,1
CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,C1427,1
CC(C)c1c(O)cc(C=Cc2ccccc2)cc1O,C792,1
CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,C1262,1
CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1,C580,1
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,C827,1
CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,C1420,1
N#Cc1ccc(C2CCc3cncn32)c(F)c1,C746,1
Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,C1519,1
COc1cnc(-n2cnc(C)n2)c2c1c(C(=O)C(=O)N1CCN(C(=O)c3ccccc3)CC1)cn2COP(=O)(O)O.NC(CO)(CO)CO,C1578,1
Cc1ccc(-c2ccc(C)cn2)nc1,C1571,1
CCC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,C1481,1
NC(=O)N1CCC(CC(=O)N2CCC(C3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,C913,1
O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1,C1524,1
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,C1584,1
CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,C1048,1
COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,C376,1
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,C1135,1
FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,C1503,1
O=[N+]([O-])c1cn2c(n1)OCC(OCc1ccc(OC(F)(F)F)cc1)C2,C72,1
CCc1cc(C(C)=NOCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1,C1373,1
NC(=O)OCC(N)Cc1ccccc1,C873,1
CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1,C1658,1
CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,C494,1
